file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,57,1.6,199,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,57,1.6,200,35,24,0,0,35,24,18.617,12.766,0,0,18.617,12.766
,57,1.6,201,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,57,1.6,202,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,58,1.62857,203,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,58,1.62857,203.667,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,58,1.62857,204.333,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,58,1.62857,205,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,59,1.65714,206,30,20,0,0,30,20,15.9574,10.6383,0,0,15.9574,10.6383
,59,1.65714,207,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,59,1.65714,208,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,59,1.65714,209,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,60,1.68571,210,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,60,1.68571,210.667,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,60,1.68571,211.333,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,60,1.68571,212,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,61,1.71429,213,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,61,1.71429,214,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,61,1.71429,215,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,61,1.71429,216,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,62,1.74286,217,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,62,1.74286,217.667,41,25,0,0,41,25,21.8085,13.2979,0,0,21.8085,13.2979
,62,1.74286,218.333,41,25,0,0,41,25,21.8085,13.2979,0,0,21.8085,13.2979
,62,1.74286,219,53,29,0,0,53,29,28.1915,15.4255,0,0,28.1915,15.4255
